group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD56bright,ATAD2,29.376013,2.172989,1.112279581882289e-189,2.2584356992533784e-188,0.35384879135950625,0.08273328434974284
CD56bright,GPR183,29.360264,5.9089317,1.767255082726168e-189,3.5702122883356926e-188,0.26984399108520485,0.004188096987509184
CD56bright,FABP5,29.312792,2.5043786,7.125634858515686e-189,1.4322884137719972e-187,0.3252185839190811,0.05576781778104335
CD56bright,SNRPA,29.27097,1.1616616,2.4293149593076974e-188,4.834457630463079e-187,0.5228870221155495,0.20529022777369582
CD56bright,LDHA,29.173643,0.9695595,4.188901467006128e-187,8.294854390111144e-186,0.7620435453454483,0.48743570903747246
CD56bright,SNRPE,29.171223,1.1227282,4.495707197086169e-187,8.858536348938264e-186,0.5714040802331561,0.25113886847905953
CD56bright,RPA1,29.170721,1.2105516,4.562273328349695e-187,8.945633977156266e-186,0.5004285959197668,0.19132990448199852
CD56bright,DNMT1,29.119328,1.0855337,2.043808995470757e-186,3.987919991162453e-185,0.6255786044916852,0.3118295371050698
CD56bright,NME1,29.06442,2.2598069,1.011552353986342e-185,1.9641793281288196e-184,0.3348191325218584,0.06465833945628215
CD56bright,MYC,29.001009,2.6646144,6.389676715780019e-185,1.2347201383149796e-183,0.31133207611863534,0.04459955914768553
CD56bright,MRPL11,28.749575,1.2994789,9.169059278371247e-182,1.763280630456009e-180,0.4426538659351963,0.14753857457751654
CD56bright,MPST,28.722645,1.0716356,1.9898136194810278e-181,3.808255731064168e-180,0.5239156523229899,0.2056576047024247
CD56bright,SMC4,28.713602,1.8265947,2.580717722719823e-181,4.915652805180615e-180,0.3831647522715584,0.11520940484937546
CD56bright,RPL7,28.68391,0.73751026,6.056957946246296e-181,1.1482384732220466e-179,0.9573118463912224,0.7703894195444526
CD56bright,RB1,28.57876,1.0682619,1.2340208518803228e-179,2.328341229962873e-178,0.5432881878964513,0.22674504041146215
CD56bright,HMGB2,28.475847,1.2058576,2.3329614872543641e-178,4.381148332872045e-177,0.6581518943939654,0.3902277736958119
CD56bright,RPL41,28.408949,0.46788442,1.5677686809894906e-177,2.9304087495130665e-176,0.9931424652837305,0.9515797207935341
CD56bright,SELENOH,28.337893,0.9105035,1.1801711858830725e-176,2.195667322573158e-175,0.8369621121206926,0.5266715650257164
CD56bright,SMS,28.231728,1.2100719,2.3861101883128064e-175,4.418722570949642e-174,0.4803703068746786,0.18596620132255695
CD56bright,MAML2,28.213179,1.3179883,4.0303058854081e-175,7.429135272641658e-174,0.42962454997428423,0.1440852314474651
CD56bright,TMEM14B,28.178402,1.0518181,1.075790830114398e-174,1.9739281286502716e-173,0.5465455168866792,0.22909625275532697
